Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.5399,-0.0001,0.00%,,United States,,1602,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$15.05,0.00,0.00%,23281628.00,,2016,1,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.45,0.02,0.049%,,,,100,,
GLDG,GoldMining Inc. Common Shares,$1.75,0.00,0.00%,261644915.00,,,529199,,
GLO,Clough Global Opportunities Fund Common Stock,$12.56,-0.22,-1.721%,404738615.00,United States,2006,497203,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.115,-0.305,-1.978%,199983980.00,United States,2005,203952,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$21.87,-0.30,-1.353%,117520151.00,United States,2004,20925,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$45.85,0.00,0.00%,,United States,,8,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.075,-0.015,-0.029%,,United States,,501,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$12.09,-0.01,-0.083%,101826260.00,United States,2004,115471,,
GOED,1847 Goedeker Inc. Commom Stock,$5.70,-0.0101,-0.177%,34833840.00,United States,2020,40052,Capital Goods,Recreational Products/Toys
GORO,Gold Resource Corporation Common Stock,$2.81,0.01,0.357%,209174166.00,United States,,535397,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.8508,0.0008,0.094%,302374132.00,Canada,,1367084,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.1503,-0.0697,-0.756%,37281259.00,United States,,4684,,
GROY,Gold Royalty Corp. Common Shares,$4.93,0.15,3.138%,205193241.00,,2021,155366,,
GSAT,Globalstar Inc. Common Stock,$1.48,-0.07,-4.516%,2652160000.00,United States,2006,21240770,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.45,-0.07,-1.989%,395688997.00,United States,,598015,,
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.622,0.0017,0.274%,222350200.00,Canada,,864094,,
GTE,Gran Tierra Energy Inc. Common Stock,$0.6021,-0.0111,-1.81%,220959595.00,Canada,,2887428,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$26.63,-0.01,-0.038%,,United States,,6301,,
HMG,HMG/Courtland Properties Inc. Common Stock,$11.7987,0.00,0.00%,11884217.00,United States,,120,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$14.99,-0.025,-0.167%,124908522.00,United States,2007,65831,,
HUSA,Houston American Energy Corporation Common Stock,$1.55,0.01,0.649%,15381174.00,United States,,128574,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$76.00,0.00,0.00%,,United States,,3,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$6.28,-0.08,-1.258%,146349691.00,United States,,49914,,
IBIO,iBio Inc. Common Stock,$1.47,0.04,2.797%,320240006.00,United States,,5909986,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$5.99,0.08,1.354%,198709001.00,United States,2017,57447,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,$1.41,0.04,2.92%,63966515.00,United States,,6948036,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$6.25,0.33,5.574%,55350338.00,United States,,2280087,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$1.96,0.01,0.513%,41812061.00,United States,1997,31479,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$32.41,0.35,1.092%,23791427630.00,Canada,,641025,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.4563,-0.0937,-1.688%,40529151.00,,2019,3130,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$20.55,0.43,2.137%,420633778.00,United States,,46724,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$35.02,0.09,0.258%,311059897.00,United States,1992,25882,Technology,Retail: Computer Software & Peripheral Equipment
INTT,inTest Corporation Common Stock,$13.45,0.31,2.359%,144548912.00,United States,1997,148478,Technology,Semiconductors
INUV,Inuvo Inc.,$0.7386,0.0356,5.064%,87537723.00,United States,,956911,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.5593,-0.0506,-0.401%,52352362.00,United States,,1130,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$26.72,-0.53,-1.945%,100626852.00,United States,,17266,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.799,-0.0009,-0.113%,113030748.00,United States,,609675,Health Care,Medical/Dental Instruments
